Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Beg_Bal,Amt_Incur,Amt_Paid,End_Bal,Expn_Code,Expn_Dscr,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Memo_Code,Memo_RefNo,BakRef_TID,XRef_SchNm,XRef_Match
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY888,OTH,Sutton Law Firm,,,,,,San Francisco,CA,94108,0.00,1092.00,0.00,1092.00,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY892,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,0.00,788.45,0.00,788.45,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY887,OTH,Sutton Law Firm,,,,,,San Francisco,CA,94108,0.00,1246.09,0.00,1246.09,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY889,IND,Clifton,Carla Lyn,,,,,San Francisco,CA,94118,0.00,450.00,0.00,450.00,,Contact Management,,,,,,,,,,,,,,,
1332115,Oakland Rising Committee Sponsored by Movement Strategy Center Action Fund,000,RCP,01/24/2014,07/01/2013,12/31/2013,11/06/2012,,,DEBT,F,F-15-V,OTH,Movement Strategy Action Fund,,,,,,Oakland,CA,94612,53837.38,0.00,0.00,53837.38,IND,Doorhanger,,,,,,,,,,,,,,,
1362261,Libby Schaaf for Oakland Mayor 2014,000,CTL,01/28/2014,07/01/2013,12/31/2013,,,,DEBT,F,VNF249H82C4,IND,Berley,Steve,,,,,Oakland,CA,94602-1856,0.00,130.00,0.00,130.00,POS,PO Box fee (reimbursement spanning reporting periods),,,,,,,,,,,,,,,
1359017,Joe Tuman for Mayor 2014,000,CTL,01/28/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,O3wo4fgHegMk,OTH,The Next Generation,,,,,,Oakland,CA,94612,0.00,50.00,0.00,50.00,OFC,,,,,,,,,,,,,,,,
1359017,Joe Tuman for Mayor 2014,000,CTL,01/28/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,UFXeoR9iRNjN,OTH,The Next Generation,,,,,,Oakland,CA,94612,0.00,147.00,0.00,147.00,WEB,,,,,,,,,,,,,,,,
1359017,Joe Tuman for Mayor 2014,000,CTL,01/28/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,gZTOSzuiBYVe,OTH,The Next Generation,,,,,,Oakland,CA,94612,0.00,337.35,0.00,337.35,WEB,,,,,,,,,,,,,,,,
1345905,Noel Gallo For Oakland City Council 2012,000,CTL,01/28/2014,01/01/2013,06/30/2013,11/04/2012,,,DEBT,F,IfKw6XoOiwJN,OTH,Statewide Information System,,,,,,Sacramento,CA,95816,5000.00,0.00,1500.00,3500.00,CNS,,,,,,,,,,,,,,,,
1310647,The Oakland Fund for Keep Oakland Firesafe 2013,000,BMC,01/16/2014,07/01/2013,12/31/2013,,,,DEBT,F,F-276-V,OTH,Reynolds Strageties,,,,,,Oakland,CA,94610,0.00,15000.00,15000.00,0.00,,See Schedule E for codes or descriptions.,,,,,,,,,,,,,,,
1343715,Dan Kalb for City Council 2012,000,CTL,08/02/2013,01/01/2013,06/30/2013,,,,DEBT,F,l95eV3zW6aQj,OTH,The Next Generation,,,,,,Oakland,CA,94612,507.43,0.00,507.43,0.00,PHO,Expense reimbursement,,,,,,,,,,,,,,,
